iter	RMSE
0	0.5109686379
1	0.5046148453
2	0.498404662
3	0.4923862573
4	0.4868481269
5	0.4810523004
6	0.47543852
7	0.4700039326
8	0.4647261185
9	0.4598951405
10	0.4547994627
11	0.4497943735
12	0.4451631509
13	0.4403608765
14	0.4357369307
15	0.4312911246
16	0.4268979112
17	0.4228475525
18	0.4186308425
19	0.4146469999
20	0.4106787775
21	0.4069237719
22	0.4032178589
23	0.3996870216
24	0.3959844022
25	0.3926880285
26	0.3893693041
27	0.385970458
28	0.3827674738
29	0.3796448945
30	0.3765894024
31	0.3736454602
32	0.3707269023
33	0.367906717
34	0.3650947702
35	0.3624206137
36	0.3599749013
37	0.3573712909
38	0.354851384
39	0.3523166209
40	0.350008919
41	0.347818948
42	0.3454776274
43	0.3433560594
44	0.3411474291
45	0.3389435141
46	0.3369506541
47	0.334905265
48	0.3329576841
49	0.3311101954
50	0.3293014836
51	0.3274090767
52	0.3256451126
53	0.3239372384
54	0.3223734116
55	0.3207034465
56	0.3190610339
57	0.3175890204
58	0.316192791
59	0.3147414946
60	0.3132492704
61	0.3117412369
62	0.3103858445
63	0.3090249918
64	0.3077158157
65	0.3064929593
66	0.305193396
67	0.3039828253
68	0.3027368127
69	0.3015404841
70	0.3003734092
71	0.2991917612
72	0.2981801842
73	0.2970736881
74	0.2959959424
75	0.2949418845
76	0.2939059181
77	0.292867819
78	0.2918730761
79	0.2908597132
80	0.2898893349
81	0.2890045017
82	0.2881396913
83	0.2871962071
84	0.2863387307
85	0.2855257268
86	0.2847698663
87	0.2839705153
88	0.2831455634
89	0.28239036
90	0.2817218393
91	0.2809857031
92	0.280263696
93	0.2795742616
94	0.2788642472
95	0.2781579277
96	0.277524628
97	0.2768592629
98	0.276235719
99	0.2755838315
100	0.2749403159
101	0.2743256952
102	0.273741629
103	0.2731255467
104	0.2725559345
105	0.2720013333
106	0.271465221
107	0.2709130025
108	0.2703762082
109	0.2698641474
110	0.2693968023
111	0.2688884531
112	0.2684165994
113	0.2678830747
114	0.2673945676
115	0.2669209374
116	0.2664469021
117	0.2659982591
118	0.265520943
119	0.265071723
120	0.2646213608
121	0.2642000651
122	0.2637860904
123	0.2633569387
124	0.262951108
125	0.2625449452
126	0.2622012263
127	0.2617913906
128	0.2613955664
129	0.2610266351
130	0.2606814195
131	0.2603289354
132	0.2599985457
133	0.259649825
134	0.2593327793
135	0.2590235015
136	0.2587146377
137	0.258315556
138	0.2579509784
139	0.2575319832
140	0.2572138364
141	0.2568669196
142	0.256502202
143	0.2561912511
144	0.2558850381
145	0.2556021306
146	0.2553085094
147	0.2550219415
148	0.2546203625
149	0.2543141139
150	0.254038969
151	0.2537418186
